WIID,Description,Type,Status,Date
74428736,Generate Yearly Report for Vendor,WI4,Open,2017-05-30
74428814,Verify Account Position,WI1,Open,2020-09-20
74428752,Research Client Check Copy,WI2,Open,2017-07-13
74428718,Calculate Client Security Hash,WI5,Open,2017-09-16
74428727,Generate Yearly Report for Vendor,WI4,Open,2021-04-27
74428795,Verify Account Position,WI1,Open,2018-10-26
74428724,Generate Yearly Report for Vendor,WI4,Open,2018-03-30
74428750,Research Client Check Copy,WI2,Open,2018-02-03
74428708,Calculate Client Security Hash,WI5,Open,2019-01-06
74428707,Calculate Client Security Hash,WI5,Open,2021-05-17
74428811,Verify Account Position,WI1,Open,2017-07-07
74428720,Calculate Client Security Hash,WI5,Open,2019-09-11
74428794,Verify Account Position,WI1,Open,2018-01-10
74428778,Research Client Check Copy,WI2,Open,2018-01-28
74428819,Verify Account Position,WI1,Open,2018-09-20
74428769,Research Client Check Copy,WI2,Open,2018-09-25
74428767,Research Client Check Copy,WI2,Open,2020-03-05
74428792,Verify Account Position,WI1,Open,2019-09-26
74428709,Calculate Client Security Hash,WI5,Open,2019-08-20
74428774,Research Client Check Copy,WI2,Open,2020-11-27
74428806,Verify Account Position,WI1,Open,2018-02-24
74428788,Research Client Check Copy,WI2,Open,2017-01-11
74428816,Verify Account Position,WI1,Open,2019-01-06
74428791,Research Client Check Copy,WI2,Open,2017-04-04
74428763,Research Client Check Copy,WI2,Open,2019-09-20
74428729,Generate Yearly Report for Vendor,WI4,Open,2021-09-11
74428747,Process Vendor Invoice,WI3,Open,2020-05-06
74428812,Verify Account Position,WI1,Open,2017-04-13
